Gene,log2FC,pvalue,FDR
RGD1308564,7.405405283,1.24E-77,1.26E-76
Fam183a,6.57841851,5.81E-60,4.39E-59
Mrpl55,-0.379332007,6.14E-18,1.81E-17
Wnt9a,-1.110807757,0.000645499,0.001039941
Prss38,-3.135191122,2.29E-12,5.60E-12
Jmjd4,0.376483878,8.69E-10,1.92E-09
Zfp496,-0.168405906,0.005961588,0.008845803
Nlrp3,1.556108771,3.86E-37,1.84E-36
Pld6,-1.158570521,0.001025932,0.001626449
Cops3,0.472463185,6.59E-20,2.05E-19
Nt5m,-1.857388944,7.18E-42,3.80E-41
Drc3,-1.781440257,1.01E-25,3.66E-25
Flii,-0.943856594,2.45E-42,1.31E-41
Shmt1,0.176827248,0.048425085,0.065329368
Dhrs7b,-1.062325475,5.09E-62,4.00E-61
Mfap4,-5.441756626,8.39E-69,7.39E-68
B9d1,-1.313089466,1.40E-77,1.43E-76
Tekt3,-2.947522281,1.14E-20,3.61E-20
Map2k4,-0.409624157,3.88E-11,9.04E-11
Tmem220,-1.263060751,7.75E-33,3.35E-32
Adprm,0.471145062,1.07E-21,3.48E-21
Myh1,4.395196599,5.90E-05,0.00010229
Dhrs7c,3.62494245,1.58E-07,3.16E-07
Rpl26,0.660095255,3.31E-37,1.58E-36
Arhgef15,-2.029221641,6.77E-33,2.93E-32
Rangrf,-0.476764112,0.000240028,0.000398529
Pfas,1.155178347,4.47E-77,4.52E-76
Per1,-1.392499846,1.83E-15,5.00E-15
Hes7,-2.091415092,1.67E-23,5.70E-23
Aloxe3,-1.12373061,0.002625626,0.004025942
Alox12b,2.394164037,0.00081833,0.001307702
Trappc1,0.11216224,0.032193503,0.044380829
Naa38,0.142212812,0.001169558,0.001844754
Wrap53,1.129397366,6.32E-69,5.58E-68
Fxr2,-0.090605147,0.019177311,0.027109211
Cd68,1.103656568,5.25E-14,1.36E-13
Eif4a1,0.685810273,2.10E-40,1.07E-39
Tnfsf13,1.117696659,2.42E-21,7.79E-21
Zbtb4,-2.822953523,3.10E-186,1.12E-184
Tmem256,0.905831311,2.09E-22,6.93E-22
Acap1,3.144099576,1.88E-113,3.11E-112
Eif5a,0.754125799,1.60E-68,1.40E-67
Elp5,0.472871937,1.09E-24,3.85E-24
Ctdnep1,0.258699159,8.20E-06,1.50E-05
Slc16a13,-1.100977005,9.31E-09,1.97E-08
RGD1308134,1.005369681,1.49E-45,8.56E-45
Rnasek,-0.488662323,9.71E-18,2.84E-17
Alox12,4.928775128,1.74E-219,8.44E-218
Med11,1.063467872,1.91E-60,1.46E-59
Zmynd15,-1.94158446,6.73E-44,3.73E-43
Camta2,-0.357886116,3.57E-08,7.37E-08
Rpain,-0.163225303,0.028311724,0.039265577
Dhx33,-1.246545151,1.07E-49,6.66E-49
Wscd1,2.79876862,2.25E-169,6.80E-168
Pitpnm3,-2.156074956,2.55E-18,7.60E-18
Sdf2,-0.681849825,3.65E-48,2.21E-47
Tlcd1,-1.131029277,5.46E-21,1.74E-20
Nek8,-0.327513706,2.16E-06,4.07E-06
Txndc17,-0.176361154,0.00217579,0.003357951
Med31,0.220844827,0.000200452,0.000334659
Zzef1,-0.688255087,1.78E-21,5.76E-21
Ctns,-0.59348435,3.61E-18,1.07E-17
Shpk,-0.63024021,3.20E-21,1.03E-20
Mnt,-0.337738693,1.91E-09,4.15E-09
Smg6,-0.455418661,1.46E-26,5.42E-26
Dph1,-0.185117441,0.012437561,0.017893926
Rpa1,1.333415993,6.93E-259,4.50E-257
Smyd4,-0.633147916,3.91E-10,8.75E-10
Serpinf1,-3.433768869,2.72E-54,1.84E-53
Serpinf2,1.478774482,3.67E-06,6.84E-06
Prpf8,-0.689213279,4.59E-16,1.28E-15
Rilp,-1.666582365,1.15E-36,5.44E-36
Slc43a2,0.477631695,1.21E-05,2.19E-05
Inpp5k,-0.36399122,7.05E-15,1.89E-14
Rflnb,1.257362814,7.77E-21,2.47E-20
Ift20,-0.164956435,0.002536039,0.003894025
Tnfaip1,-2.1251121,1.69E-75,1.67E-74
Poldip2,-0.825856678,2.65E-32,1.13E-31
Sarm1,-3.529664337,6.04E-45,3.42E-44
Tp53i13,-1.229585786,3.65E-34,1.63E-33
Blmh,0.672397787,3.04E-72,2.84E-71
Tefm,-0.685006909,9.21E-14,2.38E-13
Rhbdl3,-1.357399658,1.81E-45,1.04E-44
Ccl7,-3.505851398,1.70E-38,8.38E-38
Ccl12,1.489446203,1.30E-05,2.36E-05
Tmem132e,-0.740540423,4.83E-05,8.42E-05
Slfn14,11.44793563,0,0
