Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,GO_Biological_Process_2021__DNA synthesis involved in DNA repair (GO:0000731),0.5665904587130649,1.9315612909777067,0.0,0.0038991645088083835,0.54,27/40,32.84%,Pclaf;Dtl;Hrob;Pole;Rfc4;Pcna;Cdkn2d;Rfc3;Pola1;Rpa3;Rfc2;Pold1;Rfc5;Primpol;Rpa2;Pold3;Polh;Ube2l6;Rpa1;Ubb;Rps27a;Polk;Uba52;Poli;Wrn;Usp10;Pold2
prerank,GO_Biological_Process_2021__respiratory tube development (GO:0030323),-0.5547435861486981,-1.9310554188482423,0.0,0.013488832906051974,0.56,15/26,17.48%,Tcf21;Fgf1;Pcsk5;Pdpn;Fgf2;Rbp4;Fgf9;Foxf1;Itga3;Wnt7b;Cebpa;Vegfa;Nphp3;Gli2;Fgfr2
prerank,GO_Biological_Process_2021__regulation of insulin secretion involved in cellular response to glucose stimulus (GO:0061178),-0.6251498686977205,-1.9294333274379247,0.0,0.013493418604813168,0.56,10/17,22.23%,Ano1;Efna5;Trpm4;Cftr;Adcy5;Pim3;Lrp5;Nr1d1;Pla2g6;Adra2a
prerank,GO_Biological_Process_2021__diterpenoid metabolic process (GO:0016101),-0.5261796202399421,-1.92877932754174,0.0,0.01337294165298448,0.56,21/40,19.81%,Gpc3;Akr1c3;Lpl;Awat2;Hspg2;Rarres2;Rbp4;Gpihbp1;Rho;Agrn;Sdc2;Gpc2;Lrp1;Dhrs3;Lrp2;Rbp1;Gpc4;Aldh3a2;Gpc6;Gpc1;Akr1b1
prerank,GO_Cellular_Component_2021__cyclin-dependent protein kinase holoenzyme complex (GO:0000307),0.6156398903320602,1.9282416457868718,0.0,0.004042286282161426,0.56,7/24,3.36%,Ccnb2;Ccna2;Ccnf;Ccnb1;Cdk1;Cks2;Ccne1
prerank,KEGG_2021_Human__Hematopoietic cell lineage,0.5156458614023198,1.9280192333968327,0.0,0.004021449754933791,0.56,18/59,9.02%,Gypa;Gp5;Gp9;Ms4a1;Cd19;Il5ra;Cr2;Gp1ba;Itga2b;Csf3r;Tfrc;Dntt;Il1r2;Il1a;Epor;Itgb3;Il1b;Fcer2
prerank,"GO_Biological_Process_2021__mRNA splicing, via spliceosome (GO:0000398)",0.4346618459929562,1.9255011950829333,0.0,0.004162476508836415,0.57,207/240,46.41%,Srpk3;Bcas2;Clp1;Lsm2;Snrpf;Rbm15;Gemin6;Snrpg;Ppil1;Pabpc1;Lsm4;Snrpd1;Ddx39a;Alyref;Snrpa;Srsf3;Lsm7;Lsm3;Sf3b6;Snrpd2;Lsm5;Snrnp25;Tra2b;Upf3b;Bud31;Hnrnpd;Hnrnpf;Magohb;Hnrnpm;Snrnp40;Ppih;Snrpe;Isy1;Gtf2f2;Hnrnpa1;Rnps1;Snrpa1;Prpf38a;Wdr83;Ncbp1;Rbmx2;Hnrnpa3;Sf3a3;Srsf1;Srrt;Polr2g;Hnrnpc;Celf4;Dbr1;Rbm8a;Rbm17;Ptbp1;Ppil3;Pspc1;Wbp11;Snrpb2;Srsf4;Sf3a2;Hnrnpul1;Dnajc8;Snrpd3;Srsf7;Snrpb;Prpf4;Scnm1;Srsf10;U2af1;Hnrnpa2b1;Ess2;Gemin2;Sart3;Cpsf2;Sf3b3;Zmat2;Lsm8;Usp39;Ppie;Nudt21;Elavl1;Rbm14;Snrnp27;Usp49;Polr2i;Hnrnpk;Ccar1;Magoh;Cstf2;Cdc5l;Sfpq;Ddx46;Nono;Cd2bp2;Slu7;Rbm10;Cactin;Ddx23;Cwc27;Gemin8;Prpf40a;Gemin7;Bud13;Prcc;Raver1;Sf3b5;Snu13;Srsf6;Cstf1;U2af2;Ddx39b;Hnrnpu;Ppwd1;Prpf4b;Cdk13;Smndc1;Cpsf4;Snrpc;Prpf31;Ik;Polr2d;Dhx15;Cwc22;Phf5a;Zcchc8;Polr2c;Dhx8;Clns1a;Tgs1;Smn1;Papola;Polr2l;Srpk1;Sf3b4;Syf2;Sf3b2;Polr2k;Rbm5;Eif4a3;Frg1;Srsf2;Sf3a1;Hnrnph1;Polr2h;Xab2;Rbm22;Puf60;U2surp;Lsm6;Pcbp1;Hnrnpl;Pdcd7;Hnrnph3;Wdr33;Srrm1;Pqbp1;Gtf2f1;U2af1l4;Sf1;Fip1l1;Smu1;Pabpn1;Wbp4;Dcps;Ddx20;Prpf19;Snw1;Pnn;Cwc25;Srpk2;Eftud2;Crnkl1;Ythdc1;Snip1;Syncrip;Cwc15;Wdr77;Ddx41;Polr2j;Rbm15b;Strap;Cwf19l2;Polr2b;Dhx16;Prpf3;Plrg1;Sart1;Ubl5;Dhx9;Cpsf7;Scaf11;Tra2a;Pcbp2;Cstf3;Mtrex;Rbm6;Snrnp35;Zcrb1;Hspa8;Ddx42;Pcf11;Rbm41;Txnl4a;Cwf19l1;Ctnnbl1;Dhx38;Raly;Gemin4;Srsf5
prerank,GO_Biological_Process_2021__mRNA processing (GO:0006397),0.4219677059139445,1.924566920319911,0.0,0.004221651799010581,0.58,223/259,46.67%,Bcas2;Clp1;Lsm2;Snrpf;Rbm15;Gemin6;Snrpg;Ppil1;Pabpc1;Thoc7;Lsm4;Snrpd1;Ddx39a;Alyref;Snrpa;Srsf3;Lsm7;Lsm3;Sf3b6;Ramac;Snrpd2;Lsm5;Snrnp25;Tra2b;Upf3b;Bud31;Hnrnpd;Hnrnpf;Magohb;Hnrnpm;Thoc3;Snrnp40;Ppih;Snrpe;Isy1;Gtf2f2;Hnrnpa1;Rnps1;Snrpa1;Prpf38a;Wdr83;Ncbp1;Rbmx2;Hnrnpa3;Sf3a3;Srsf1;Srrt;Polr2g;Hnrnpc;Dbr1;Rbm8a;Rbm17;Ptbp1;Ppil3;Pspc1;Wbp11;Snrpb2;Srsf4;Sf3a2;Hnrnpul1;Dnajc8;Snrpd3;Srsf7;Snrpb;Thoc6;Prpf4;Srsf10;U2af1;Hnrnpa2b1;Ess2;Gemin2;Sart3;Cpsf2;Sf3b3;Zmat2;Lsm8;Rngtt;Usp39;Ppie;Nudt21;Elavl1;Rbm14;Snrnp27;Usp49;Polr2i;Hnrnpk;Celf1;Kin;Ccar1;Magoh;Cstf2;Cdc5l;Sfpq;Ddx46;Nono;Chtop;Cd2bp2;Slu7;Rbm10;Supt4h1;Cactin;Ddx23;Cwc27;Prpf40a;Gemin7;Bud13;Prcc;Raver1;Sf3b5;Snu13;Srsf6;Cstf1;Cpsf6;Tcerg1;U2af2;Ddx39b;Hnrnpu;Sarnp;Ppwd1;Prpf4b;Smndc1;Cpsf4;Snrpc;Prpf31;Poldip3;Ik;Polr2d;Dhx15;Cwc22;Phf5a;Zcchc8;Polr2c;Dhx8;Papola;Polr2l;Sf3b4;Syf2;Tbrg4;Prmt9;Sf3b2;Polr2k;Rbm5;Prpf18;Eif4a3;Frg1;Gtf2h3;Srsf2;Gtf2h4;Sf3a1;Hnrnph1;Polr2h;Gtf2h2;Xab2;Rbm22;Gtf2h1;Puf60;U2surp;Lsm6;Pcbp1;Hnrnpl;Pdcd7;Hnrnph3;Wdr33;Srrm1;Pqbp1;Gtf2f1;U2af1l4;Sf1;Fip1l1;Smu1;Pabpn1;Wbp4;Prpf19;Snw1;Pnn;Cwc25;Thoc1;Eftud2;Crnkl1;Ythdc1;Rprd1b;Snip1;Syncrip;Cwc15;Ercc3;Ddx41;Polr2j;Rbm15b;Cwf19l2;Polr2b;Dhx16;Prpf3;Son;Plrg1;Rnmt;Sart1;Ubl5;Dhx9;Cpsf7;Scaf11;Tra2a;Pcbp2;Cstf3;Mtrex;Rbm6;Snrnp35;Zcrb1;Hspa8;Ddx42;Pcf11;Rbm41;Txnl4a;Ercc2;Cwf19l1;Ctnnbl1;Dhx38;Raly;Aurkaip1;Srsf5;Hnrnph2;Gemin5;Thoc5;Cdc40
prerank,KEGG_2021_Human__Propanoate metabolism,-0.5409380554168863,-1.9243997449064492,0.0,0.014121720207204187,0.58,26/31,32.65%,Ldhb;Acss3;Ehhadh;Acaca;Pccb;Aldh6a1;Acox1;Pcca;Acss2;Dbt;Echdc1;Bckdhb;Echs1;Bckdha;Hibch;Mmut;Mcee;Acat1;Suclg2;Hadha;Acacb;Acads;Suclg1;Mlycd;Dld;Acox3
prerank,Reactome_2022__Metabolism Of Non-Coding RNA R-HSA-194441,0.5401457179755778,1.9241895464267487,0.0,0.004200222094447075,0.58,33/45,37.78%,Nup210;Lin9;Snrpf;Gemin6;Snrpg;Nup85;Nup93;Nup205;Nup62;Snrpd2;Nup107;Nup35;Nup43;Snrpe;Nup58;Aaas;Ncbp1;Nup133;Nup160;Nup88;Nup50;Nup153;Snrpd3;Snrpb;Gemin2;Nup155;Ndc1;Gemin8;Gemin7;Nup54;Tpr;Clns1a;Smn1
